SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
450,Bitcoin,BTC,10/30/2016 23:59,714.117981,696.4749756,714.117981,701.8640137,100665000,11194834676
451,Bitcoin,BTC,10/31/2016 23:59,709.2890015,691.6820068,702.6400146,700.9719849,97064400,11181852070
452,Bitcoin,BTC,11/1/2016 23:59,736.4520264,701.3369751,701.3369751,729.7930298,130527000,11642863554
453,Bitcoin,BTC,11/2/2016 23:59,740.8289795,722.348999,730.065979,740.8289795,84865200,11820110421
454,Bitcoin,BTC,11/3/2016 23:59,745.7730103,678.1560059,742.3460083,688.7000122,172808000,10989660280
455,Bitcoin,BTC,11/4/2016 23:59,706.9299927,685.5629883,689.1240234,703.2349854,99907696,11222575748
456,Bitcoin,BTC,11/5/2016 23:59,707.5100098,697.7390137,703.5250244,703.4180298,53752300,11226736982
457,Bitcoin,BTC,11/6/2016 23:59,714.2579956,699.5599976,703.8120117,711.5219727,59902200,11357385316
458,Bitcoin,BTC,11/7/2016 23:59,710.7360229,699.9030151,710.7360229,703.1309814,65047100,11224670783
459,Bitcoin,BTC,11/8/2016 23:59,712.9869995,702.3900146,703.0889893,709.8480225,79660800,11333339468
460,Bitcoin,BTC,11/9/2016 23:59,740.0460205,708.6099854,709.8250122,723.2730103,132429000,11548965779
461,Bitcoin,BTC,11/10/2016 23:59,723.0180054,711.210022,722.8439941,715.5339966,68807800,11426817526
462,Bitcoin,BTC,11/11/2016 23:59,718.3179932,714.4099731,715.5549927,716.4110107,63119700,11442241390
463,Bitcoin,BTC,11/12/2016 23:59,717.1480103,704.0349731,716.7520142,705.0540161,64622500,11262273136
464,Bitcoin,BTC,11/13/2016 23:59,705.257019,687.3150024,705.1959839,702.0310059,80318096,11215181107
465,Bitcoin,BTC,11/14/2016 23:59,706.2839966,699.8079834,701.9970093,705.0209961,62993000,11271073434
466,Bitcoin,BTC,11/15/2016 23:59,715.7180176,705.2600098,705.7940063,711.6190186,72038496,11377924616
